,Airport ID,Name,City,Country,IATA,ICAO,Latitude,Longtitude,Altitude,TimeZone,DST
7293,12056,Yingkou Lanqi Airport,Yingkou,China,YKH,ZYYK,40.542524,122.3586,0,\N,\N
7294,12057,Shenyang Dongta Airport,Shenyang,China,\N,ZYYY,41.784400939941406,123.49600219726562,0,\N,\N
7295,12058,Bogorodskoye Airport,Bogorodskoe,Russia,BQG,UHNB,52.38,140.448,0,11,U
7296,12059,Itapiranga Airport,Itapiranga,Brazil,\N,SSYT,-27.14249992370605,-53.68579864501953,1247,-3,S
7297,12069,Aguas Calientes Airport,Aguas Calientes,Peru,\N,SPAT,-8.833330154418945,-74.68329620361328,9840,-6,U
7298,12087,Rajiv Gandhi International Airport,Hyderabad,India,HYD,VOHS,17.2313175201,78.4298553467,2024,5.5,N
7299,12090,Vancouver International Seaplane Base,Vancouver,Canada,\N,CAM9,49.177047,-123.168154,0,-8,A
7300,12096,Bressaucourt Airport,Bressaucourt-Porrentruy,Switzerland,\N,LSZQ,47.392677,7.028648,1866,1,E
7301,12104,Parakou Airport,Parakou,Benin,PKO,DBBP,9.35768985748291,2.609679937362671,1266,1,U
7302,12106,Kandi Airport,Kandi,Benin,KDC,DBBK,11.14479,2.940381,951,1,U
7303,12109,Sokodé Airport,Sokode,Togo,\N,DXSK,8.994275,1.153004,1214,0,U
7304,12110,Sansanné-Mango Airport,Mango,Togo,\N,DXMG,10.373010635375977,0.4713821411132812,460,0,U
7305,12133,Arnbruck Airport,Arnbruck,Germany,\N,EDNB,49.12472152709961,12.985555648803713,1716,1,U
7306,12163,Jacarepaguá - Roberto Marinho Airport,Rio de Janeiro,Brazil,\N,SBJR,-22.987499,-43.369999,10,-3,S
7307,12165,Hacaritama Airport,Aguachica,Colombia,\N,SKAG,8.247,-73.5814,545,-5,N
7308,12172,Hermannsburg Airport,Hermannsburg,Australia,HMG,YHMB,-23.93000030517578,132.80499267578125,593,9.5,N
7309,12182,Mount Davies Airport,Pipalyatjara,Australia,\N,YMDV,-26.16670036315918,129.13299560546875,0,9.5,O
7310,12183,Areyonga Airport,Areyonga,Australia,\N,YARN,-24.066699981689453,132.26699829101562,0,9.5,N
7311,12185,Tracy Municipal Airport,Tracy,United States,\N,KTCY,37.68899917602539,-121.44200134277344,193,-8,A
7312,12217,Mount Allan Airport,Yuelamu,Australia,\N,YMNA,-22.274999618530277,132.2169952392578,0,9.5,N
7313,12218,Everard Park Airport,Mimili,Australia,\N,YEVP,-27.016700744628903,132.7169952392578,0,9.5,O
7314,12219,Warrabri Airport,Ali-Curung,Australia,\N,YWBI,-21.0,134.39700317382812,383,9.5,N
7315,12310,Krefeld-Egelsberg Airport,Krefeld,Germany,\N,EDLK,51.3849983215332,6.587778091430664,141,1,U
7316,12311,Baidoa Airport,Baidoa,Somalia,BIB,HCMB,3.102220058441162,43.62860107421875,1820,3,U
7317,12340,Ampilatwatja Airport,Ampilatwatja,Australia,\N,YAMJ,-21.655000686645508,135.22999572753906,0,9.5,N
7318,12360,Kings Creek Airport,Petermann,Australia,KCS,YKCS,-24.42329978942871,131.8350067138672,615,9.5,N
7319,12361,Harts Range Airport,Harts Range,Australia,\N,YHTS,-22.98500061035156,134.91799926757812,0,9.5,N
7320,12391,Elliott Airport,Elliott,Australia,\N,YELL,-17.527429580688477,133.52989196777344,0,9.5,N
7321,12392,Papunya Airport,Papunya,Australia,\N,YPAY,-23.246700286865234,131.9029998779297,620,9.5,N
7322,12444,Fregon Airport,Fregon,Australia,\N,YFRG,-26.774999618530277,132.01699829101562,528,9.5,O
7323,12445,Mount Liebig Airport,Mt Liebig,Australia,\N,YLBG,-23.24329948425293,131.25999450683594,0,9.5,N
7324,12469,Bolton Field,Columbus,United States,\N,KTZR,39.90119934082031,-83.13690185546875,905,4,A
7325,12470,Baltrum Airport,Baltrum,Germany,BMR,EDWZ,53.72472381591797,7.373332977294922,7,1,E
7326,12528,Skagit Regional Airport,Skagit,United States,MVW,KBVS,48.4709014893,-122.42099762,144,-8,A
7327,12618,Goondiwindi Airport,Goondiwindi,Australia,GOO,YGDI,-28.52140045166016,150.32000732421875,714,10,O
7328,12619,Liman Airfield,Odesa,Ukraine,\N,UKOE,46.57851,30.703053,0,2,E
7329,12640,Lognes Emerainville Airport,Lognes,France,\N,LFPL,48.821028,2.625967,359,1,E
7330,12672,Marion County Brown Field,Jasper,United States,APT,KAPT,35.060699,-85.585297,641,-5,A
